Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,10,0,18,20.25302000110969,16.142800042871386,38.61829999368638,8926.6,0.5385103684748835,0.0,19,19,19,22,39,39,39,39,39,39,39
GET,GET / after login,1,0,23.623699962627143,23.623699962627143,23.623699962627143,23.623699962627143,9121.0,0.053851036847488355,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,GET /cart,10,0,26,55.33022999879904,22.08640001481399,291.49879998294637,9600.6,0.5385103684748835,0.0,30,33,35,40,290,290,290,290,290,290,290
GET,GET /cart_final,10,0,62,62.577830004738644,49.99140003928915,79.86500003607944,26587.6,0.5385103684748835,0.0,64,66,67,69,80,80,80,80,80,80,80
GET,GET /category,10,0,39,42.493969993665814,32.16839995002374,71.43780001206324,97721.6,0.5385103684748835,0.0,40,44,45,48,71,71,71,71,71,71,71
GET,GET /login,1,0,59.70470001921058,59.70470001921058,59.70470001921058,59.70470001921058,9901.0,0.053851036847488355,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,GET /product,10,0,70,82.882910000626,62.31499998830259,144.65929998550564,98227.0,0.5385103684748835,0.0,70,80,84,120,140,140,140,140,140,140,140
POST,POST /add_to_cart,10,0,130.0,140.85929000284523,114.46170002454892,262.94320001034066,26803.6,0.5385103684748835,0.0,130,140,140,140,260,260,260,260,260,260,260
POST,POST /loginAction,1,0,62.868400011211634,62.868400011211634,62.868400011211634,62.868400011211634,9328.0,0.053851036847488355,0.0,63,63,63,63,63,63,63,63,63,63,63
POST,POST /logout,10,0,27,28.242469998076558,24.407199991401285,34.49310001451522,9113.0,0.5385103684748835,0.0,27,29,29,34,34,34,34,34,34,34,34
,Aggregated,73,0,44,61.26841095878985,16.142800042871386,291.49879998294637,38330.82191780822,3.93112568986665,0.0,44,66,70,80,130,140,260,290,290,290,290
